224281.0,225885.5,227064.0,225593.5,225245.5,225462.0,225711.0,225779.0,226090.0,225779.0,225711.0,225462.0,225245.5,225593.5,227064.0,225885.5
216687.0,217131.5,219348.0,219933.0,220842.0,220496.5,221878.5,221711.0,221528.0,221711.0,221878.5,220496.5,220842.0,219933.0,219348.0,217131.5
227406.0,230126.0,231751.5,228170.0,229814.0,232670.0,231034.0,231167.0,232747.0,231167.0,231034.0,232670.0,229814.0,228170.0,231751.5,230126.0
241957.0,242076.0,243690.0,245845.0,245792.5,245654.5,245548.0,245100.5,245438.0,245100.5,245548.0,245654.5,245792.5,245845.0,243690.0,242076.0
203828.0,206973.0,207940.0,208951.0,210053.5,210594.0,212357.5,213469.0,215400.0,213469.0,212357.5,210594.0,210053.5,208951.0,207940.0,206973.0
223521.0,225571.5,227384.0,229699.0,231566.0,233216.5,234400.5,236515.0,235498.0,236515.0,234400.5,233216.5,231566.0,229699.0,227384.0,225571.5
205591.0,206773.5,207190.5,207352.0,208221.0,208420.5,209962.0,210413.0,209766.0,210413.0,209962.0,208420.5,208221.0,207352.0,207190.5,206773.5
206320.0,207523.5,210861.5,212745.0,214080.5,215328.0,214601.0,215030.5,215700.0,215030.5,214601.0,215328.0,214080.5,212745.0,210861.5,207523.5
216560.0,218133.5,218881.0,219910.0,219891.5,220634.5,219610.0,220640.0,219583.0,220640.0,219610.0,220634.5,219891.5,219910.0,218881.0,218133.5
219239.0,221190.5,222822.0,223249.5,226122.0,225284.5,224229.0,223695.0,222644.0,223695.0,224229.0,225284.5,226122.0,223249.5,222822.0,221190.5
217705.0,219197.5,221075.5,221399.0,221949.0,221582.5,221824.0,222928.5,223523.0,222928.5,221824.0,221582.5,221949.0,221399.0,221075.5,219197.5
226927.0,229911.5,231708.5,231029.0,231630.0,232154.5,232647.0,232086.0,230644.0,232086.0,232647.0,232154.5,231630.0,231029.0,231708.5,229911.5
211353.0,211691.0,213219.0,215073.5,217135.0,217972.5,217818.0,217228.0,216981.0,217228.0,217818.0,217972.5,217135.0,215073.5,213219.0,211691.0
195445.0,196168.5,198040.5,199011.0,198969.0,198157.0,199069.0,200131.5,201862.0,200131.5,199069.0,198157.0,198969.0,199011.0,198040.5,196168.5
213436.0,214240.0,215251.5,215945.5,215733.5,216374.0,216126.5,216365.5,215491.0,216365.5,216126.5,216374.0,215733.5,215945.5,215251.5,214240.0
211044.0,214356.5,217168.5,219951.0,221544.0,227732.0,231788.5,233725.5,233196.0,233725.5,231788.5,227732.0,221544.0,219951.0,217168.5,214356.5
202894.0,204241.0,204637.0,205312.0,207660.5,208331.0,209109.0,208336.0,209965.0,208336.0,209109.0,208331.0,207660.5,205312.0,204637.0,204241.0
221050.0,222575.0,223982.0,223652.0,223499.0,222809.5,222666.0,224535.5,224104.0,224535.5,222666.0,222809.5,223499.0,223652.0,223982.0,222575.0
230345.0,230905.5,232406.0,232816.5,235029.5,234833.5,235419.0,235259.0,236799.0,235259.0,235419.0,234833.5,235029.5,232816.5,232406.0,230905.5
208388.0,209123.0,210743.5,212412.0,212277.5,212353.0,213296.0,214945.0,216480.0,214945.0,213296.0,212353.0,212277.5,212412.0,210743.5,209123.0
224614.0,225925.0,228113.0,230938.0,233765.0,236237.5,237887.0,239121.5,239660.0,239121.5,237887.0,236237.5,233765.0,230938.0,228113.0,225925.0
