index,bin_size,m,n,a,b,corr
247,1,0.06898796429381986,24.0,28273.977638079858,-28265.888313576885,14.495282042835738
247,2,0.06774998143900345,24.0,29472.5243281301,-29467.60616796549,14.76015164521216
247,4,0.06672814955103948,24.0,30436.94285813187,-30427.590780162693,14.986179097250602
247,8,0.06920432739293238,24.0,28186.953220966865,-28185.02380873605,14.44996342962979
247,16,0.06862111548082062,24.0,28630.529784538445,-28621.650706856675,14.572773890268467
247,32,0.06868023516425459,24.0,28578.371037612083,-28570.146766142087,14.560229702306865
