temp,binning_step,variance,std,error
2.0,0,0.014918506718244427,0.12214133910451623,0.0000386244847345505
2.0,1,0.011181706715120934,0.10574358947530074,0.00004728997557931855
2.0,2,0.007793306716443649,0.08827970727434278,0.00005583300039857282
2.0,3,0.004539106715912614,0.06737289303505241,0.00006026017157095317
2.0,4,0.00247760671596453,0.04977556344195945,0.00006296171128731008
2.0,5,0.0012805567160027636,0.03578486713686057,0.00006401401880956683
2.0,6,0.000651231716002077,0.025519242073425243,0.00006455934988082747
2.0,7,0.0003257692159996516,0.018049077981981562,0.00006457475775802094
2.0,8,0.00016304003379810351,0.012768713083083335,0.00006460638626529939
2.0,9,0.00008111086010470381,0.009006156788814184,0.00006444487441556927
2.0,10,0.000040073247611558896,0.00633034340392043,0.00006406390162608445
2.0,11,0.00002014497585017087,0.0044883154802409855,0.00006424346721124287
2.0,12,9.972580038506958e-6,0.0031579392075381943,0.00006393061056020983
2.0,13,4.934674307595835e-6,0.0022214126828655305,0.00006362494124280829
2.0,14,2.5089606903022768e-6,0.0015839699145824319,0.0000641857000364279
2.0,15,1.2421665637603983e-6,0.001114525263850218,0.00006392240783086981
2.0,16,5.3094609684396e-7,0.0007286604811871987,0.000059297548995278184
2.0,17,2.532649186757132e-7,0.00050325432802482,0.00005811080435119481
2.0,18,1.4569716130762546e-7,0.00038170297524073017,0.00006275158258101791
2.0,19,7.205527956878711e-8,0.00026843114493066395,0.00006326982762071382
2.0,20,3.234441622079891e-8,0.00017984553433654925,0.00006358499844774602
2.0,21,1.9429307940299623e-8,0.00013938905244064047,0.00008047630694869065
2.0,22,2.90333446173463e-9,0.000053882598876953125,0.000053882598876953125
2.0,23,0.0,0.0,NaN
