temp,binning_step,variance,std,error
0.001,0,3.497934186320363,1.8702764999647412,0.000591433388989311
0.001,1,3.4760529050230056,1.8644175779644983,0.0008337929719341278
0.001,2,3.443606780286547,1.8556957671683543,0.0011736452884461828
0.001,3,3.3854077227840245,1.839947750014664,0.0016456999559123454
0.001,4,3.276542526815695,1.810122240848859,0.0022896454814812276
0.001,5,3.077325434732327,1.7542307244864705,0.0031380683394497226
0.001,6,2.7397380209989945,1.6552154001817994,0.004187413945955321
0.001,7,2.238540600578265,1.4961753241442879,0.005352913828429186
0.001,8,1.6135405491211894,1.2702521596601162,0.006427147446053755
0.001,9,1.014204867696614,1.0070773891298592,0.0072062898071951625
0.001,10,0.5730178832791066,0.7569794470651806,0.00766073082223599
0.001,11,0.30547866215963065,0.5527012413226794,0.007911084733424383
0.001,12,0.15808239482637784,0.3975957681193021,0.008049091050057893
0.001,13,0.07964807904122746,0.2822199125526536,0.008083246076793931
0.001,14,0.040069778804348664,0.2001743709977595,0.00811147485413567
0.001,15,0.018998530605472498,0.1378351573636875,0.007905388444938682
0.001,16,0.00911904942741004,0.09549371407276,0.007771168239760514
0.001,17,0.0034587612942790116,0.05881123442233645,0.0067909364050220255
0.001,18,0.0017029538444714703,0.04126686133535564,0.006784230212803072
0.001,19,0.0007665036295981899,0.027685801949703208,0.006525606100407626
0.001,20,0.0005457619097117345,0.023361547673725183,0.008259554389551945
0.001,21,0.00013928495323159453,0.011801904644234106,0.006813832823298856
0.001,22,0.00011055741562127934,0.010514628648757851,0.010514628648757851
0.001,23,0.0,0.0,NaN
