temp,burnin,iterations,observable
1e-6,100000,100000000,3.6088448990350157
1.2589e-6,100000,100000000,3.379999473493221
1.5848e-6,100000,100000000,3.3681149215434933
1.9952e-6,100000,100000000,3.471549043519169
2.5118e-6,100000,100000000,3.545377668786741
3.1622e-6,100000,100000000,3.434463982500959
3.981e-6,100000,100000000,3.453976188857059
5.0118e-6,100000,100000000,3.5551775106840724
6.3095e-6,100000,100000000,3.4566867155678214
7.9432e-6,100000,100000000,3.4930737255235815
0.00001,100000,100000000,3.4926204890153665
0.000012589,100000,100000000,3.5318417525383823
0.000015848,100000,100000000,3.4846688890823687
0.000019952,100000,100000000,3.5077730903940547
0.000025118,100000,100000000,3.480250197946091
0.000031622,100000,100000000,3.4891217167976243
0.00003981,100000,100000000,3.4796148996550365
0.000050118,100000,100000000,3.495476295895742
0.000063095,100000,100000000,3.5028565730136694
0.000079432,100000,100000000,3.496544375439759
0.0001,100000,100000000,3.5010965239125045
0.00012589,100000,100000000,3.4965074361970143
0.00015848,100000,100000000,3.4992615047818356
0.00019952,100000,100000000,3.491001651449488
0.00025118,100000,100000000,3.5011428848448563
0.00031622,100000,100000000,3.494799082628864
0.0003981,100000,100000000,3.4938517394193394
0.00050118,100000,100000000,3.4961335436449956
0.00063095,100000,100000000,3.503112852964411
0.00079432,100000,100000000,3.502050387566285
0.001,100000,100000000,3.503502128099599
0.0012589,100000,100000000,3.5008139671056755
0.0015848,100000,100000000,3.498804343166548
0.0019952,100000,100000000,3.5028486944662935
0.0025118,100000,100000000,3.498357946444735
0.0031622,100000,100000000,3.4994932049894745
0.003981,100000,100000000,3.4995317642457384
0.0050118,100000,100000000,3.5007239688569416
0.0063095,100000,100000000,3.5004608669976593
0.0079432,100000,100000000,3.5007444149432856
0.01,100000,100000000,3.4992742290094196
0.012589,100000,100000000,3.4997808320908446
0.015848,100000,100000000,3.500157802018779
0.019952,100000,100000000,3.5003183276849006
0.025118,100000,100000000,3.5002506805473166
0.031622,100000,100000000,3.4993705931077588
0.03981,100000,100000000,3.499977249161993
0.050118,100000,100000000,3.500317351768466
0.063095,100000,100000000,3.500664928024857
0.079432,100000,100000000,3.499734901167137
0.1,100000,100000000,3.499914967965148
0.12589,100000,100000000,3.5000793121142184
0.15848,100000,100000000,3.500111523637964
0.19952,100000,100000000,3.500196219403605
0.25118,100000,100000000,3.497027372559347
0.31622,100000,100000000,3.473363117054663
0.3981,100000,100000000,3.347079956327358
0.50118,100000,100000000,2.925027451737035
0.63095,100000,100000000,2.0347946692326726
0.79432,100000,100000000,0.9931371362244334
1.0,100000,100000000,0.33129026
1.2589,100000,100000000,0.07773130923693648
1.5848,100000,100000000,0.012657765903970341
1.9952,100000,100000000,0.0012630813119999895
2.5118,100000,100000000,0.00007033040000000073
3.1622,100000,100000000,7.58928e-7
3.981,100000,100000000,0.0
5.0118,100000,100000000,0.0
6.3095,100000,100000000,0.0
7.9432,100000,100000000,0.0
10.0,100000,100000000,12.3327402
12.589,100000,100000000,0.0
15.848,100000,100000000,126.78400024327608
19.952,100000,100000000,159.61599970897868
25.118,100000,100000000,0.0
31.622,100000,100000000,0.0
39.81,100000,100000000,318.47999960634155
50.118,100000,100000000,0.0
63.095,100000,100000000,0.0
79.432,100000,100000000,0.0
100.0,100000,100000000,0.0
