index,bin_size,m,n,a,b,corr
207,1,0.06548799353900164,24.0,38266.693736201916,-38258.233841261426,15.26997463137187
207,2,0.06305115951516364,24.0,41535.602921366,-41523.29923093991,15.860136557195313
207,4,0.06396007257900463,24.0,40298.05577563032,-40282.55316415598,15.634753990699151
207,8,0.06404978089659054,24.0,40146.79451502891,-40131.21589926347,15.612855906790955
207,16,0.06488171448545638,24.0,39038.94637888885,-39026.59225389287,15.412662996508145
207,32,0.06432708094106757,24.0,39817.830030525845,-39806.91412125474,15.545552283277663
