index,bin_size,m,n,a,b,corr
2145,1,0.06907871331163683,24.0,34253.05886545324,-34314.53222838644,14.476239525317599
2145,2,0.06914794611835262,24.0,34161.31196358156,-34223.38961857502,14.461745520082614
2145,4,0.06742185654764675,24.0,36077.57335298639,-36141.81519398256,14.831985519314557
2145,8,0.0703645572663314,24.0,32886.64443458776,-32947.37523710057,14.211700305524243
2145,16,0.06909361564547045,24.0,34207.046922539375,-34270.061439946316,14.473117243294196
2145,32,0.06795322109961352,24.0,35475.37993418023,-35534.33914930301,14.71600586135699
