index,bin_size,m,n,a,b,corr
763,1,0.21123659791299215,16.0,3105.6301537146674,-3143.8005922085626,4.734028146069165
763,2,0.21214519926750558,16.0,3071.4422433037307,-3111.449569125168,4.713752672475255
763,4,0.21125680966281302,16.0,3107.500875604348,-3145.470940187466,4.733575223426406
763,8,0.2112667313028927,16.0,3104.2093001244034,-3143.285900208285,4.733352922312704
763,16,0.21273844242342776,16.0,3049.2615533884436,-3088.0523535573748,4.700607885478601
763,32,0.2108408749669894,16.0,3118.9157247015974,-3157.5141622748442,4.742913347122879
