index,bin_size,m,n,a,b,corr
111,1,0.1026608083602036,16.0,19195.031654731312,-19182.75353557998,9.740815565092019
111,2,0.10553943167312252,16.0,18082.02327854774,-18068.283638341825,9.475131561227345
111,4,0.10510288360361808,16.0,18250.793470740202,-18238.159190105802,9.514486812477672
111,8,0.10265218874535731,16.0,19208.227098431307,-19195.00769063684,9.741633492887676
111,16,0.10486459660741183,16.0,18341.45227796337,-18327.34133402676,9.536106868782062
111,32,0.10363991759800228,16.0,18800.323638672875,-18787.076815064454,9.648791924736878
