index,bin_size,m,n,a,b,corr
1564,1,-1.5125070100690035e-6,16.0,127379985950884.08,-127379985950828.45,-661153.9605058611
1564,2,3.758992594095461e-6,16.0,20638845311882.234,-20638845311824.84,266028.7231134153
1564,4,1.0993392830333505e-6,16.0,241113877138848.53,-241113877138794.97,909637.2843520622
1564,8,-4.545821596962372e-6,16.0,14081940431380.494,-14081940431327.357,-219982.2361414764
1564,16,6.725071891015237e-7,16.0,644508058243259.1,-644508058243206.0,1486972.951673587
1564,32,-8.981004969454373e-7,16.0,361062367340902.1,-361062367340847.7,-1113461.1364776401
