index,bin_size,m,n,a,b,corr
2732,1,0.05738089512937932,16.0,63763.04594647104,-63748.5234825509,17.427403280225143
2732,2,0.05700226618127882,16.0,64509.463407745505,-64493.43243742199,17.54316217568958
2732,4,0.06058279576922841,16.0,57083.981297646584,-57068.89830748254,16.506336284135738
2732,8,0.059014775435766706,16.0,60197.23782237232,-60182.497086266594,16.944909009921208
2732,16,0.059437472061281305,16.0,59241.017245381685,-59224.89600697851,16.824403281636517
2732,32,0.06111234821141264,16.0,56027.04814380427,-56009.915464358506,16.36330511373234
