index,bin_size,m,n,a,b,corr
1737,1,0.06957510389380754,16.0,53189.18527328959,-53133.61016134083,14.372957337243788
1737,2,0.0703955754227829,16.0,51908.56576427664,-51851.826379255814,14.205438253671252
1737,4,0.06786501880792634,16.0,56039.85956436665,-55982.515044492735,14.73513184797356
1737,8,0.07007309766310692,16.0,52483.781059560315,-52427.06502702436,14.270811957075708
1737,16,0.07072078219230253,16.0,51487.988634101464,-51432.56089717404,14.14011509772078
1737,32,0.07165020638562893,16.0,50103.973713828265,-50049.23741696024,13.956693922385863
