index,bin_size,m,n,a,b,corr
1874,1,0.0650982747635249,16.0,59201.03159073122,-59163.94561949633,15.361390200164081
1874,2,0.06507385590870657,16.0,59281.604110919885,-59245.69735258409,15.367154535961728
1874,4,0.07042007397749118,16.0,50346.25143098386,-50310.22176671009,14.200496300524142
1874,8,0.06773655775495503,16.0,54480.903986881516,-54443.99878654087,14.763076736459176
1874,16,0.06707478398414915,16.0,55700.96044039324,-55665.648856117194,14.908732322362992
1874,32,0.0645670466581676,16.0,60251.687416635104,-60215.38313057778,15.487776687297218
