index,bin_size,m,n,a,b,corr
2138,1,0.17369504428632682,24.0,2488.933145960522,-2410.693251233962,5.757216644313435
2138,2,0.17287646562555792,24.0,2523.178884499607,-2444.0044602241555,5.784477351393519
2138,4,0.17329081668581767,24.0,2508.7317003049257,-2428.279311372424,5.770646241531859
2138,8,0.17386108866513428,24.0,2484.8305414391307,-2404.824007544958,5.751718269325077
2138,16,0.1743849691764281,24.0,2457.1444681530147,-2375.5231789351255,5.73443918201622
2138,32,0.17306566824054984,24.0,2512.8924342481832,-2430.6763856084453,5.778153519218301
