index,bin_size,m,n,a,b,corr
99,1,0.1932257011194618,16.0,4135.4127210411625,-4072.218393112843,5.175294974770204
99,2,0.19280188697301684,16.0,4159.646873056137,-4097.977997057877,5.186671228689545
99,4,0.19238758596975777,16.0,4181.736357094487,-4118.602308626773,5.197840572505516
99,8,0.19462525245414472,16.0,4059.2022312108375,-3998.1099666119326,5.138079398178857
99,16,0.19235545223851613,16.0,4188.763708626111,-4126.404125377756,5.198708892119284
99,32,0.19326845592110325,16.0,4136.444300691233,-4073.0601914644726,5.174150097252412
