index,bin_size,m,n,a,b,corr
1879,1,-9.080505588766309e-6,16.0,2764742139826.764,-2764742139883.2305,-110126.02659890676
1879,2,0.01861424765923458,16.0,656067.8472137566,-656125.1877397201,53.72228941543588
1879,4,0.015126682908503743,16.0,994767.3062199362,-994823.6517337355,66.10834682320416
1879,8,0.0157325074432504,16.0,919306.2343958635,-919364.4729845632,63.56265862941145
1879,16,0.013953004390617389,16.0,1169551.2400500972,-1169609.8300929586,71.66915253552445
1879,32,0.01599201564771161,16.0,890245.4219421106,-890302.5451753567,62.53120444783306
