index,m,n,a,b,corr
1542,0.11408866509517052,54.0,1.580951034751818,-1.3854223575618132,8.765112635561294
1543,0.11339286693805099,54.0,1.608440333367319,-1.7707489760694213,8.818896875994165
1544,0.10899755387641019,54.0,1.8107620707604668,-1.8195191050987398,9.174517816554644
1545,0.11025223584393397,54.0,1.7484610817071067,-1.2301060835230877,9.07011084487698
1546,0.13306952066856984,54.0,0.8490341506177899,-0.8731408911808142,7.514868881888094
1547,0.11867063017103925,54.0,1.4070966686963802,-0.9353238708919958,8.426684838183686
1548,0.12020306653880464,54.0,1.2027116218954998,-0.7440482521805427,8.319255313483822
1549,0.11968990927303393,54.0,1.2621585677986173,-0.7963708835997217,8.35492320174479
1550,0.09262713811539361,54.0,2.6694440239699895,-2.4280149364885695,10.795972112991484
1551,0.12285041234832103,54.0,1.249413318063729,-1.3368535953166303,8.13998081801039
1552,0.12270400545879648,54.0,1.2298407444056163,-1.1224520704073493,8.149693208962082
1553,0.14065217877699102,54.0,0.6911334663442522,-0.6490150678330784,7.109737002976223
1554,0.08991099089566143,54.0,3.411443206897716,-3.376747730028949,11.122110767975688
1555,0.08874109247025024,54.0,3.1884136854252905,-2.972215939738306,11.26873663782359
1556,0.11654656325411607,54.0,1.39569263571975,-1.4129086669092272,8.580261588834821
1557,0.09338732260222544,54.0,2.8405661150701538,-2.6400170801822913,10.708091549635771
1558,0.10146619954230796,54.0,2.20257591400215,-2.3172558667933227,9.855498722833646
1559,0.13165419745878484,54.0,0.9426220950446222,-0.940571590304734,7.595656039094813
1560,0.12878416987747332,54.0,0.9271583240447963,-0.4760583362456946,7.764929501439587
1561,0.11650587082837868,54.0,1.3524102428314575,-0.9020084974264986,8.5832584477487
1562,0.11006174380769675,54.0,1.6811138706293838,-1.7679978430053087,9.085809159513506
1563,0.11692793321330881,54.0,1.3603739974637674,-1.2360766109467975,8.552276368177345
1564,0.10247864303462778,54.0,2.442373102473464,-2.277734779698726,9.758130771326641
1565,0.1191428310404296,54.0,1.4578505248528946,-1.1403953178378439,8.393287210547001
1566,0.09407901198136497,54.0,2.8224933387079387,-2.7935336728366043,10.629363329177803
1567,0.10318738538454483,54.0,2.2090612628980235,-2.0049879358114775,9.691107069661033
1568,0.12903544848195056,54.0,0.9429852932745236,-0.4500200163194727,7.749808380290783
1569,0.1317888450945071,54.0,0.9662194555416842,-0.8979154767357285,7.5878956165287725
1570,0.11596229991208737,54.0,1.4924757383719067,-1.2648720511509333,8.623492296704308
1571,0.140568771786345,54.0,0.7037522739267461,-0.8156947883688357,7.113955591217175
1572,0.09442767427077091,54.0,2.8125976598107094,-2.5773008553967443,10.590115744379181
1573,0.11385080583076139,54.0,1.4272069896414046,-1.0084960589403678,8.783424875239747
1574,0.1130667070308704,54.0,1.589552830855825,-1.0808179967640505,8.844336465260032
1575,0.10253402236752916,54.0,2.0571589118611806,-1.580650974518414,9.752860337572045
1576,0.12345282276289343,54.0,1.1449037245285827,-0.9546749467146766,8.100260306891686
1577,0.12840694888337786,54.0,0.9480504882514963,-0.829333181075767,7.787740528810656
1578,0.12288737503934262,54.0,1.1267840131483184,-0.9140182761394328,8.137532433090447
1579,0.10406326955689407,54.0,1.940023334912605,-1.48957746658706,9.609538545714
1580,0.10667021258326229,54.0,1.8511804075896618,-1.5840295385202623,9.374688357534133
1581,0.12182967044145944,54.0,1.172334153072967,-1.0406279905667943,8.208181113651715
1582,0.09846820264143123,54.0,2.470391042904781,-2.597304799367965,10.155562640271475
1583,0.11526230284261833,54.0,1.5322240308295614,-1.376406108332789,8.675863446572135
1584,0.10883934796442295,54.0,1.6940104219595515,-1.639770231072196,9.18785364578697
1585,0.10438630925662058,54.0,1.8791745778704336,-1.5699435582576922,9.579800331302318
1586,0.11607877957498218,54.0,1.455895843529289,-1.6714664258188447,8.614839022786594
1587,0.1208707541447638,54.0,1.243336928156482,-1.285703403886865,8.273299915067343
1588,0.0966665354937204,54.0,2.640846501061268,-2.839687744567018,10.344841623758839
1589,0.12843498160813913,54.0,1.0684779971944696,-0.9878991850196176,7.78604074590087
1590,0.11956154400037344,54.0,1.3892217885796136,-1.0026013330711325,8.363893326744565
1591,0.12682289395718133,54.0,0.9774028723202577,-1.0198967091132172,7.885011678866324
1592,0.1281268687135426,54.0,0.9752707774089758,-0.9789761152591658,7.804764215659812
1593,0.11838200774934228,54.0,1.236674600343208,-0.9515773024975883,8.447229600273069
1594,0.11418888712086984,54.0,1.5544193123793613,-1.5799054595720445,8.757419615986729
1595,0.09848960267154969,54.0,2.547829974514286,-2.6105831446833307,10.153356018044594
1596,0.10844664718155013,54.0,1.8888043139759074,-1.8126477568761095,9.22112417478342
1597,0.08683124919848847,54.0,3.5581239128958546,-3.338771317388824,11.516591195343619
1598,0.09565710227582357,54.0,2.5738575634787972,-2.2175837168537034,10.454006824464937
1599,0.11903132598844512,54.0,1.35486354986449,-1.1256861908679434,8.401149795618291
1600,0.1259722803276333,54.0,1.1090558985020387,-1.118497419412228,7.938254331819378
1601,0.10707788888144149,54.0,1.7992127102488085,-1.5671044198287494,9.338996224582067
1602,0.09308329506722955,54.0,2.7860370349652865,-2.701563354834861,10.74306618902724
1603,0.12183981588671175,54.0,1.2162210365641293,-1.33119403245279,8.207497628934478
1604,0.12836513691267654,54.0,0.9598633695252219,-0.806851863188232,7.790277204941354
1605,0.10532077503334031,54.0,2.104235011261527,-1.6649257884512683,9.494802897941458
1606,0.13940857453963654,54.0,0.7494611117948965,-0.8712198281851388,7.173159924360899
1607,0.13630628406077192,54.0,0.7704824658101804,-0.8530348599614055,7.336418910474823
1608,0.1306882600098035,54.0,0.9988286026705773,-1.15359863446008,7.651796725467044
1609,0.113738651865851,54.0,1.5630883998432274,-1.0912989455306026,8.792085923257202
1610,0.12295465974927614,54.0,1.1764787154527556,-0.9297968166072615,8.133079315897072
1611,0.13792925915474571,54.0,0.7801022875389511,-0.7353496582977139,7.250093316879772
1612,0.13487328225425682,54.0,0.7977397954822062,-0.664408828854468,7.4143669026668055
1613,0.1230861875573176,54.0,1.16411560482896,-1.2045840952176843,8.124388445570544
1614,0.11717371868576182,54.0,1.4047685334556248,-1.1146398825924047,8.534336976039947
1615,0.11618401094760554,54.0,1.4023251753243604,-0.9978342006772224,8.607036302533581
1616,0.10816566756948237,54.0,1.8254891282227947,-1.5851632565508347,9.2450776893475
