index,m12,m23,m34,m13,m24,m14,m12_err,m23_err,m34_err,m13_err,m24_err,m14_err,corr12,corr23,corr34,corr13,corr24,corr14,corr12_err,corr23_err,corr34_err,corr13_err,corr24_err,corr14_err
3580,0.08952250442605912,0.2531426497383366,0.05386754523245886,0.12798077027218815,0.029111596719074054,0.06493191347718523,,,,,,,11.170375610145573,3.95034183703797,18.5640536557703,7.813673865794138,34.35057202976419,15.400747436025654,,,,,,
3581,0.12375428613352367,0.12449884159940407,0.21421821822139883,0.12380650692747154,0.13485586756446283,0.11558128937012772,,,,,,,8.080528208300262,8.032203249068518,4.6681370440980885,8.077119893107243,7.415324361188713,8.651919401917077,,,,,,
3582,0.06892445907012114,0.17654066092782303,0.49109784824941666,0.08774352706730768,0.26202811640235024,0.13167848159567824,,,,,,,14.50863762285951,5.664417447767687,2.036254085748151,11.396852091811905,3.816384339703747,7.594255248708917,,,,,,
3583,0.133725776432518,0.02933533931288131,0.38931749821689243,0.09621477537969048,0.12252327724677023,0.12805110813540108,,,,,,,7.4779898586315525,34.08857792079107,2.5685976216843214,10.39341406820023,8.161714430686766,7.809381851991482,,,,,,
3584,0.13356991318259462,0.04145816839462048,0.13349291979766456,0.11015072819370517,0.07600371766016924,0.09882337959580358,,,,,,,7.486715954011035,24.1206989773759,7.4910339927818015,9.078469261151444,13.157251129099219,10.119062959494899,,,,,,
3585,0.11366146255760484,0.19735309839512566,0.1058230652407797,0.13127555180854253,0.1238786073406561,0.10767623256362904,,,,,,,8.798056768741555,5.06706004685001,9.44973572372616,7.617564628168082,8.072418809569609,9.287100562411215,,,,,,
3586,0.1239204313099771,0.07737127045840225,0.2803261585618409,0.10083106953186018,0.1282779237865729,0.11778538811435055,,,,,,,8.069694314560442,12.924694063769293,3.5672732260532034,9.917578030688489,7.7955736301422105,8.490017446214651,,,,,,
3587,0.11912927262155432,0.08466873097189474,0.20792884050959395,0.10668453142770903,0.07993342339295008,0.10525548066750527,,,,,,,8.394242472853543,11.810735657913,4.809337644307497,9.373430117913713,12.510411259180442,9.500692920294862,,,,,,
3588,0.10039838545013248,0.14601780431024222,0.39391819431108305,0.10840883107763444,0.22771754459670973,0.137425220819232,,,,,,,9.960319536181151,6.848479914650082,2.538598151702242,9.224340766887096,4.391405158399239,7.276684687415505,,,,,,
3589,0.11835096915891667,0.1204777527087318,0.025734168402602554,0.11847949773507854,0.042000263206248355,0.09923203379364505,,,,,,,8.449444961090622,8.300287625862426,38.858842623368695,8.440278859351775,23.809374600567516,10.077390957032277,,,,,,
3590,0.1368277241131356,0.03561288865081261,0.1645624586029609,0.10286026090475028,0.050894052331633834,0.10715684952310033,,,,,,,7.308460375860326,28.079721636879412,6.0767201006196405,9.721927508292156,19.64866136977734,9.332114600704317,,,,,,
3591,0.11226703933707087,0.0331183678226476,0.10733028767101083,0.09873917424035676,0.052252174737276794,0.09896013851655128,,,,,,,8.907333852437288,30.194724732665176,9.317034564047788,10.127692556611224,19.137959425191124,10.105078822547808,,,,,,
3592,0.1114463291129179,0.154468764744989,0.20972747062729047,0.11763790284914365,0.12090885303403306,0.10884964044334627,,,,,,,8.972929013990186,6.473800717257566,4.768092596592239,8.500661570636623,8.270692963388901,9.186984871304897,,,,,,
3593,0.11603831278272056,0.06159134790220935,0.265296512568453,0.09972206638202649,0.10446471207931467,0.11075884567600118,,,,,,,8.617843331387283,16.236046686098405,3.7693673027155814,10.027870824187374,9.572610502585329,9.028624250249624,,,,,,
3594,0.0970293891375916,0.21194920578446638,0.3517296926690645,0.12337882755018631,0.254198835960397,0.14358644383420305,,,,,,,10.30615578319224,4.718111569698032,2.843092354278091,8.10511835665835,3.93392832119733,6.964445760316231,,,,,,
3595,0.12563693592495973,0.027999745286881553,0.23664452753336793,0.1099421905531539,0.1098428838577607,0.12032607923155879,,,,,,,7.959442759709444,35.714610606422916,4.225747412895468,9.095689243307632,9.103912469149428,8.310750307716523,,,,,,
3596,0.12795734530802882,0.045860090426246745,0.4204291384138928,0.07392006253375909,0.08372831872522407,0.11250215704561536,,,,,,,7.815104303646834,21.805451988984256,2.3785221066565247,13.52812708381169,11.943390423039022,8.888718458922861,,,,,,
3597,0.11232899040148071,0.1630869644705602,0.2549520408651077,0.11650164612886868,0.1160206254439484,0.10926297662004048,,,,,,,8.902421328864877,6.131697914952093,3.922306315363402,8.583569702473103,8.619157121188918,9.152230983762024,,,,,,
3598,0.08393455313726912,0.10815762520266746,0.17988873644490733,0.08766178662593327,0.11466101739511017,0.08800247604290026,,,,,,,11.914044486119675,9.24576513330599,5.5589917399095174,11.407479113643422,8.721359906951653,11.363316635687736,,,,,,
3599,0.09839975582068333,0.16618670237195454,0.06219594598269918,0.11239255218760826,0.1118747218515149,0.0987975003145219,,,,,,,10.162626844545512,6.017328617315164,16.078218350086136,8.897386708780994,8.938569709493843,10.121713573891034,,,,,,
3600,0.12003752416823445,0.15048123451979764,0.1795035655955606,0.1040956789759417,0.022238573733618597,0.07805943961767423,,,,,,,8.330728302913716,6.645346864618111,5.570919979679398,9.606546687025475,44.96691253577452,12.810750434513494,,,,,,
3601,0.11165435895271825,0.12992989622275172,0.07273885887304464,0.11391659052766351,0.0557162834327822,0.10152342772144281,,,,,,,8.956211019253313,7.69645808294652,13.747809843227788,8.778352611924072,17.948074393842692,9.84994323422346,,,,,,
3602,0.09224820984885952,0.12529573608416988,0.03982577309339581,0.09741741580395019,0.050292663109789006,0.056924185798242245,,,,,,,10.84031876215713,7.981117564353748,25.10936818865739,10.265104978892808,19.883615982255655,17.567225353812244,,,,,,
3603,0.10495185402670112,0.20456177266578762,0.20359670785809428,0.124869789102467,0.14395913458017032,0.11087758466449506,,,,,,,9.528178508838796,4.888498896779687,4.911670775624693,8.008342187391774,6.946415751361048,9.018955481632325,,,,,,
3604,0.10645989667685242,0.10907384596035112,0.3483749786282853,0.10690471632262975,0.1989670384830791,0.1274922829613733,,,,,,,9.39320844012645,9.16810066790443,2.8704702155633166,9.354124255679059,5.025958106548607,7.843611995739169,,,,,,
3605,0.1047603936585517,0.034748160291840025,0.22582600867475663,0.08023964711634023,0.07190177552245668,0.08378443006527503,,,,,,,9.545592232684102,28.77850198690467,4.428187903901887,12.462666972476717,13.907862396077766,11.935391805147054,,,,,,
