"","index","side","temp","corr12","corr23","corr13","corr_length_least_squares"
"1",0,20,0.001,3.53286595647887,1.63795477149732,3.57388690170125,5.43578171276003
"2",1,20,0.0012589,NA,1.41246742895574,NA,4.33110360929895
"3",2,20,0.0015848,3.61540046494433,4.83585138853007,5.6692221774919,6.09938382202439
"4",3,20,0.0019952,2.99554190553664,1.11913795026778,8.85411017895376,7.31282092633429
"5",4,20,0.0025118,3.70615029420844,1.26700751819455,4.45213448734581,7.6673594435174
"6",5,20,0.0031622,3.3398680545506,1.47597708765632,NA,9.28057485350686
"7",6,20,0.003981,4.79622571996063,1.63912508855841,NA,10.498563706591
"8",7,20,0.0050118,5.69156528468187,3.52621048596511,NA,12.327111737827
"9",8,20,0.0063095,10.1568485429875,1.52867413311644,NA,12.4134388025024
"10",9,20,0.0079432,NA,4.48014960490789,NA,6.29395793252642
"11",10,20,0.01,14.8190163798441,NA,NA,14.2289459949234
"12",11,20,0.012589,NA,3.51929587968192,NA,15.7184555387307
"13",12,20,0.015848,NA,2.46565666424343,8.51081163944245,15.4708549761312
"14",13,20,0.019952,NA,2.54956743492305,NA,4.28921655403926
"15",14,20,0.025118,NA,2.45474472232044,NA,13.2491337852963
"16",15,20,0.031622,6.81498183747371,NA,9.54509794759948,23.8073756898548
"17",16,20,0.03981,NA,NA,NA,8.44245301470705
"18",17,20,0.050118,NA,2.53805322467643,12.1260015874761,17.0630699862807
"19",18,20,0.063095,6.10866888772459,NA,NA,15.7828162483063
"20",19,20,0.079432,NA,4.11134241452206,NA,25.1304677605021
"21",20,20,0.1,NA,2.83848749036527,9.49886051048466,16.665493457591
"22",21,20,0.12589,NA,NA,NA,34.0580703091926
"23",22,20,0.15848,NA,4.85530091351787,NA,19.3941768689353
"24",23,20,0.19952,11.8870154979805,NA,15.4804707849531,45.2407903545038
"25",24,20,0.25118,NA,4.85030133583965,31.7564582572646,16.1892093810646
"26",25,20,0.31622,NA,NA,NA,3.71074807102188
"27",26,20,0.3981,NA,NA,NA,2.16451820335951
"28",27,20,0.50118,1.29792162181464,NA,NA,215.586932173624
"29",28,20,0.63095,5.99653578174966,1.13681240371538,NA,287.58083081602
"30",29,20,0.79432,1.51032116039666,NA,NA,743.608425404357
"31",30,20,1,2.39612167888099,1.04810200362322,1.24861860964872,1749.30857666604
"32",31,20,1.2589,1.61136954442594,1.05378096741955,1.01800925427099,5126.7918170444
"33",32,20,1.5848,2.15321128769423,1.34549206961522,3.15360021348328,9212.97635666638
"34",33,20,1.9952,0.984892420333207,0.922205690055217,0.884254002925543,3088.12575330686
"35",34,20,2.5118,NA,1.30267745424943,2.10216411337314,9.73001824528263
"36",35,20,3.1622,3.03059636412282,1.42592533907498,2.56529750844234,53.174492168868
"37",36,20,3.981,5.78775135765792,1.70467090246669,2.97523639140264,68.1443656818044
"38",37,20,5.0118,NA,1.48639568515179,2.64351007510613,49.8573294261446
"39",38,20,6.3095,NA,1.53808029183643,3.11994341251271,11.897486750955
"40",39,20,7.9432,2.55036384523772,2.36582897313945,2.04309825755943,13.1740741162811
"41",40,20,10,NA,1.17326506435112,2.18675591642993,10.2091722772554
"42",41,40,0.001,4.83534853931583,3.10184568497272,4.61527268329251,1.95489424505946
"43",42,40,0.0012589,5.16829175790273,2.41107357155639,4.38159943444827,2.41052839499442
"44",43,40,0.0015848,NA,NA,NA,2.44844730164193
"45",44,40,0.0019952,4.77863332978885,2.65423611103753,NA,1.31286726272299
"46",45,40,0.0025118,7.0089206278737,2.01806918521369,NA,11.4625376163124
"47",46,40,0.0031622,5.90301109483042,2.47585308993066,27.4786583622252,1.27409629952129
"48",47,40,0.003981,7.60061128531576,3.36080197368324,5.47813157436112,2.07120417806298
"49",48,40,0.0050118,NA,NA,NA,1.59944156112079
