index,temp,size,bin_size,string_tension,gamma,offset
6125,0.27,24,2,6.72497977796651,0.0,2282.293218691849
6125,0.27,24,4,6.724084043078797,0.0,2282.306736352591
6125,0.27,24,8,6.7236037578371395,0.0,2282.314834172025
6125,0.27,24,16,6.722558043091048,0.0,2282.3237670073268
6125,0.27,24,32,6.726021439416741,0.0,2282.283588593411
6129,0.28,24,1,7.01885560263694,0.0,2276.291581968362
6129,0.28,24,2,7.01898946020529,0.0,2276.2962647988315
6129,0.28,24,4,7.019060019384945,0.0,2276.2853102691442
6129,0.28,24,8,7.019605322119368,0.0,2276.2804340992216
6129,0.28,24,16,7.018867257568573,0.0,2276.2920967363307
6129,0.28,24,32,7.020007571240448,0.0,2276.2824041808626
6133,0.29,24,1,7.473642031494315,0.0,2267.160870607181
6133,0.29,24,2,7.4732890149050135,0.0,2267.1630122543493
6133,0.29,24,4,7.474543687939651,0.0,2267.146469361526
6133,0.29,24,8,7.475548322705258,0.0,2267.1333960255893
6133,0.29,24,16,7.474219529394752,0.0,2267.153152731546
6133,0.29,24,32,7.473777251428395,0.0,2267.173178568265
6137,0.2,36,1,7.045783795898558,0.0,7767.221313811531
6137,0.2,36,2,7.044845803385414,0.0,7767.252021654305
6137,0.2,36,4,7.045370246256681,0.0,7767.242801549811
6137,0.2,36,8,7.045532421549609,0.0,7767.260680045907
6137,0.2,36,16,7.045661084147213,0.0,7767.255663026376
6137,0.2,36,32,7.044189355794288,0.0,7767.278160378914
6141,0.21,36,1,7.4336664674317205,0.0,7765.674840073838
6141,0.21,36,2,7.4348945333497625,0.0,7765.649195643902
6141,0.21,36,4,7.436540754077299,0.0,7765.628384471636
6141,0.21,36,8,7.434249513256987,0.0,7765.6649525027415
6141,0.21,36,16,7.431647204467879,0.0,7765.741402668464
6141,0.21,36,32,7.431186857568463,0.0,7765.723044522811
6145,0.22,36,1,7.828689392089956,0.0,7762.503132129891
6145,0.22,36,2,7.828439819563869,0.0,7762.512993947858
6145,0.22,36,4,7.828932385384235,0.0,7762.499342750203
6145,0.22,36,8,7.829298799430347,0.0,7762.48637051788
6145,0.22,36,16,7.829275513053545,0.0,7762.475544385554
6145,0.22,36,32,7.8280818291830485,0.0,7762.513696174325
6149,0.23,36,1,8.269606108333392,0.0,7758.374379583164
6149,0.23,36,2,8.270084134358882,0.0,7758.35197153443
6149,0.23,36,4,8.271070407039502,0.0,7758.33853572281
6149,0.23,36,8,8.268472080867582,0.0,7758.383752122468
6149,0.23,36,16,8.268468879622418,0.0,7758.395016802598
6149,0.23,36,32,8.269020714534577,0.0,7758.361048887603
6153,0.24,36,1,8.78148634003918,0.0,7750.602688117976
6153,0.24,36,2,8.781859627929748,0.0,7750.602866244149
6153,0.24,36,4,8.77913310957041,0.0,7750.654341262508
6153,0.24,36,8,8.77986282011733,0.0,7750.631521249224
6153,0.24,36,16,8.781000699609478,0.0,7750.592099306257
6153,0.24,36,32,8.77956134082038,0.0,7750.615822207038
6157,0.25,36,1,9.285102320963631,0.0,7741.21813014161
6157,0.25,36,2,9.283543588053533,0.0,7741.245909431159
6157,0.25,36,4,9.285521348877069,0.0,7741.19240427979
6157,0.25,36,8,9.286343295695133,0.0,7741.183485190436
6157,0.25,36,16,9.286998485921316,0.0,7741.142301406257
6157,0.25,36,32,9.286245167643301,0.0,7741.165713723152
6161,0.26,36,1,9.712848040983147,0.0,7730.200000654989
6161,0.26,36,2,9.715668734602957,0.0,7730.131004269637
6161,0.26,36,4,9.716237346647205,0.0,7730.14065497579
6161,0.26,36,8,9.714170937825571,0.0,7730.181131917976
6161,0.26,36,16,9.712071649414156,0.0,7730.222359393075
6161,0.26,36,32,9.714009893554874,0.0,7730.188354662116
6165,0.27,36,1,10.061283163183703,0.0,7717.0715519400965
6165,0.27,36,2,10.059140265600774,0.0,7717.1252355008855
6165,0.27,36,4,10.061021890063671,0.0,7717.083992161091
6165,0.27,36,8,10.0623748576906,0.0,7717.035390037214
6165,0.27,36,16,10.062837683789155,0.0,7717.031445679987
6165,0.27,36,32,10.061302030224681,0.0,7717.055578900936
6169,0.28,36,1,10.611300392838672,0.0,7696.321593708407
6169,0.28,36,2,10.609404067090026,0.0,7696.352860754695
6169,0.28,36,4,10.608989207942841,0.0,7696.361590382232
6169,0.28,36,8,10.609177810774838,0.0,7696.380748422467
6169,0.28,36,16,10.60981322757172,0.0,7696.340259934383
6169,0.28,36,32,10.609006372754067,0.0,7696.342293714654
6173,0.29,36,1,10.90582881745621,0.0,7674.664903137262
6173,0.29,36,2,10.90534742571623,0.0,7674.674028937409
6173,0.29,36,4,10.90475365425624,0.0,7674.688790847908
6173,0.29,36,8,10.905830331412858,0.0,7674.68241703448
6173,0.29,36,16,10.906851540169413,0.0,7674.654955191364
6173,0.29,36,32,10.907808095776488,0.0,7674.614059878472
6177,0.2,54,1,10.73256911762138,0.0,26225.314525280297
6177,0.2,54,2,10.73218292230905,0.0,26225.330104822286
6177,0.2,54,4,10.730866860893912,0.0,26225.36359932131
6177,0.2,54,8,10.731477697265461,0.0,26225.325596730494
6177,0.2,54,16,10.733558074978248,0.0,26225.285818179706
6177,0.2,54,32,10.730919992404438,0.0,26225.35144873049
6181,0.21,54,1,11.30435658982725,0.0,26220.875176743335
6181,0.21,54,2,11.303801776481123,0.0,26220.886013908173
6181,0.21,54,4,11.301233822265317,0.0,26220.97341439163
6181,0.21,54,8,11.303733177506388,0.0,26220.907351249385
6181,0.21,54,16,11.299910422021242,0.0,26221.02708066887
6181,0.21,54,32,11.296307495930705,0.0,26221.134203583282
6185,0.22,54,1,12.040346126659983,0.0,26207.765309566137
6185,0.22,54,2,12.039284901301869,0.0,26207.796076720824
6185,0.22,54,4,12.037336516395214,0.0,26207.846076735274
6185,0.22,54,8,12.0364374455512,0.0,26207.85465668586
6185,0.22,54,16,12.03805230427497,0.0,26207.83569143977
6185,0.22,54,32,12.038678877213158,0.0,26207.79589855628
6189,0.23,54,1,12.584366356591659,0.0,26197.007720268968
6189,0.23,54,2,12.586485547042969,0.0,26196.959853711152
6189,0.23,54,4,12.583741936414867,0.0,26196.999970076435
6189,0.23,54,8,12.583730663644701,0.0,26197.02735598328
6189,0.23,54,16,12.58239061042184,0.0,26197.027285781616
6189,0.23,54,32,12.581028282687441,0.0,26197.06401505325
6193,0.24,54,1,13.216704885155934,0.0,26177.83206026018
6193,0.24,54,2,13.216462567187534,0.0,26177.80287057307
6193,0.24,54,4,13.218104898697561,0.0,26177.744418226197
6193,0.24,54,8,13.21525371822895,0.0,26177.83804610627
6193,0.24,54,16,13.216730781119566,0.0,26177.800282964086
6193,0.24,54,32,13.21705462877594,0.0,26177.811409132053
6197,0.25,54,1,13.879833061794614,0.0,26150.282168905058
6197,0.25,54,2,13.882715747476993,0.0,26150.187795974143
6197,0.25,54,4,13.88190470920108,0.0,26150.213280731226
6197,0.25,54,8,13.88114513142881,0.0,26150.24333592532
6197,0.25,54,16,13.880763691134746,0.0,26150.26330171267
6197,0.25,54,32,13.878210336642553,0.0,26150.32777123415
6201,0.26,54,1,14.506870298024978,0.0,26117.061198252857
6201,0.26,54,2,14.504688970106088,0.0,26117.12635278274
6201,0.26,54,4,14.505512604459511,0.0,26117.118596944652
6201,0.26,54,8,14.506803889127468,0.0,26117.06834912629
6201,0.26,54,16,14.506473635242685,0.0,26117.06056843079
6201,0.26,54,32,14.507625175835244,0.0,26117.016300616237
6205,0.27,54,1,15.148646108495939,0.0,26069.15576499304
6205,0.27,54,2,15.147352694531094,0.0,26069.168146676246
6205,0.27,54,4,15.149190118798515,0.0,26069.122080341484
6205,0.27,54,8,15.148947436669744,0.0,26069.14283351311
6205,0.27,54,16,15.152155758544609,0.0,26069.05487567508
6205,0.27,54,32,15.15013292563458,0.0,26069.0990523368
6209,0.28,54,1,15.787284879904348,0.0,26006.612414161944
6209,0.28,54,2,15.786789424674282,0.0,26006.628176406473
6209,0.28,54,4,15.784873118163773,0.0,26006.693635829135
6209,0.28,54,8,15.786957749457372,0.0,26006.6364911719
6209,0.28,54,16,15.787122052126676,0.0,26006.62757929553
6209,0.28,54,32,15.786506465169111,0.0,26006.66402831058
6213,0.29,54,1,16.396563502196955,0.0,25927.445514975858
6213,0.29,54,2,16.39894878413628,0.0,25927.371464576085
6213,0.29,54,4,16.399895426139153,0.0,25927.345229111546
6213,0.29,54,8,16.397382008474267,0.0,25927.415646465503
6213,0.29,54,16,16.39671033074535,0.0,25927.429253555783
6213,0.29,54,32,16.39433821208752,0.0,25927.508715657154
