index,m12,m23,m34,m13,m24,m14,corr12,corr23,corr34,corr13,corr24,corr14
0,0.11847142006618222,0.18912120169106478,0.2297528406153267,0.10756441705257057,0.01630980624751849,0.09418090293743075,8.44085433804512,5.287614456011814,4.352503313220366,9.296754701987222,61.31280683681624,10.617863800523889
1,0.0790223359310841,0.3351951514193381,0.5873743306151344,0.12218518093690843,0.4253535301547574,0.18328490486064258,12.654649957097025,2.9833367092740946,1.702491831661657,8.184298556764917,2.3509855428639974,5.45598668237481
2,0.08429394998286956,0.09799017676466613,0.5428722645149493,0.01783483428395838,0.08216681923748313,0.0739769668094579,11.86324760203102,10.205104562691082,1.8420539514824719,56.070047194072025,12.170362797052471,13.517721030326845
3,0.1510009637505869,0.16082835930382847,0.3818469434147885,0.10432954031014609,0.1798262482210179,0.13038008806582854,6.622474288652435,6.217808876050602,2.6188503463120067,9.585012998497316,5.56092344634214,7.6698828389738685
4,0.10016104941940526,0.2279713826660238,0.19919317656321536,0.09211932282638903,0.0444249252284932,0.05752310849570661,9.983920953270877,4.3865154841166705,5.0202522860146415,10.855485790800172,22.509885944807877,17.38431781854483
5,0.1039160020430226,0.13504403664770198,0.062282808250821046,0.08471744243696681,0.11372459724327473,0.08202680450435897,9.623156976208406,7.404991918367814,16.055794979135634,11.80394463329131,8.793172490739565,12.191136861205647
6,0.12996575967252244,0.0015335282471464285,1.4642146844654074,0.013545477672792088,0.3910182919315548,0.21131489311148824,7.694334280965401,652.0910207299985,0.6829599584060349,73.82537730719045,2.5574251144625313,4.732274120747405
7,0.12969976549694245,0.14739173850278992,0.30677243985492775,0.07412983322001025,0.18973077332188545,0.09653131106599894,7.710114171513857,6.784640782163455,3.259745238108412,13.489845539407808,5.270626280026077,10.359333038751489
8,0.1632750136251193,0.15326666280179116,0.3330099929408241,0.1425065535400358,0.07436992660316925,0.14804163550501678,6.1246358386226065,6.524576067094438,3.0029128890966947,7.0172211393706885,13.446295373342284,6.754856473914815
9,0.1479957198229958,0.31139182971016416,0.8518168912866101,0.18474877566445227,0.5056370047944279,0.2628009875895887,6.7569521685898,3.211388047434563,1.173961223625854,5.412755761998866,1.9777033534295234,3.805160738443194
