index,m,n,a,b,corr
0,0.08209918290834374,16.0,38714.19203985061,-38720.11206530783,12.180389189943693
1,-2.3090921333632327e-7,16.0,5264041460507224.0,-5264041460507238.0,-4330706.365291205
2,-0.00004704472123448973,16.0,127904079432.30128,-127904079227.94225,-21256.369976465572
3,-1.2519925215935902e-6,16.0,168425121800814.25,-168425121800712.78,-798726.8156579375
4,-7.514007472811301e-6,16.0,4642308952523.103,-4642308952450.482,-133084.7758161543
5,-0.00003365058731365832,16.0,231289278744.8232,-231289278743.5182,-29717.163349303966
6,-0.000014453176346898308,16.0,1198776300380.1353,-1198776300348.224,-69188.9433850714
7,0.10977802141327747,16.0,18183.626861817247,-18203.78689353919,9.109291524168896
8,0.00004530841948901342,16.0,112161023273.20348,-112161023207.05235,22070.95306519099
9,0.11298927928090766,16.0,15856.48329777836,-15828.722077627315,8.850397191346408
10,0.20391948393511108,16.0,3752.904096929014,-3801.5469116103577,4.903896286429444
11,0.11295547675374895,16.0,15699.68307588981,-15709.285844794918,8.853045719775693
12,0.1723798577747921,16.0,5524.035294941465,-5577.9406193252025,5.801141809192481
13,0.08789358483538892,16.0,24370.157633140472,-24278.83610752018,11.37739462866198
14,0.20728398566052458,16.0,3216.728401019267,-3217.5739873266994,4.824299363086018
15,0.19552844199930342,16.0,3753.696947172206,-3773.789776998172,5.1143454618411095
16,0.16052497807625668,16.0,5710.951353156405,-5701.07416276314,6.229560109486228
17,-0.000044430744139174854,16.0,142695015752.2746,-142695015816.91687,-22506.937918203672
18,0.11897121244994108,16.0,16627.653226821585,-16673.746162619787,8.40539471194147
19,0.11475161260974803,16.0,17591.44701545303,-17572.542323039288,8.714474483254897
20,0.12767334846874678,16.0,15198.493682923543,-15250.878696556396,7.832488236531138
21,-3.4478124401840904e-6,16.0,22079904624282.234,-22079904624298.98,-290038.97901899985
22,0.026054934632809723,16.0,369967.78758652444,-369973.08266429417,38.38044555063854
23,-0.000022204663249075896,16.0,522109660730.36194,-522109660635.8368,-45035.58503827423
24,1.7486412222601561e-6,16.0,81917477243491.58,-81917477243393.38,571872.5987183801
25,1.6310405813553996e-7,16.0,8909481675415041.0,-8909481675414974.0,6131055.299488606
26,0.13295173073588187,16.0,11655.561350388178,-11645.159887100965,7.521526756101968
27,0.13155603300506274,16.0,11421.736746084634,-11384.023081735333,7.601323764159995
28,0.1715087790357977,16.0,5917.921640869657,-5931.629116452217,5.8306053230737405
29,0.1582202200968236,16.0,7247.73318613455,-7230.556406287738,6.320304695493695
30,0.18535200838801466,16.0,4471.567306610435,-4404.082056926486,5.395139813681472
31,0.2076109457356473,16.0,3269.4259511296154,-3303.257297376945,4.816701722814307
32,0.13146744037557823,16.0,9697.451476185946,-9753.156072478854,7.606446106679985
33,0.2841244153513716,16.0,1315.9506499739546,-1308.7515692499574,3.5195848929889313
34,0.14682213332519672,16.0,10652.7980200662,-10620.67207467679,6.810962198629122
35,0.06046633407931824,16.0,73126.51511547687,-73240.3705017888,16.538128451581414
36,0.15501627050478445,16.0,9010.126867075149,-9024.438350970868,6.450935742058998
37,0.00004710816271632061,16.0,121053792338.83168,-121053792211.9635,21227.743608297213
38,0.09061030617907775,16.0,29544.395463761342,-29622.843807310375,11.036272165592832
39,-0.000024675611668436086,16.0,430115590174.6253,-430115590050.3355,-40525.8444425576
40,2.073373161892582e-6,16.0,62177431224037.29,-62177431224038.72,482305.8474853589
41,0.00001937639587811147,16.0,668515509627.8622,-668515509617.7814,51609.18502545921
42,6.184289649564498e-6,16.0,6093537676261.511,-6093537676256.518,161700.0588047199
43,0.15943788874204182,16.0,7581.239892390808,-7498.53651996309,6.272034883865796
44,0.10424214128241993,16.0,18120.938456293065,-18070.16531793871,9.593049295588928
45,0.12239697988363801,16.0,13096.676991112608,-13044.912228102467,8.17013623171661
46,0.13800972982001095,16.0,9669.26093752624,-9712.32896582027,7.245865934990066
47,0.1806598670536196,16.0,4698.225023072548,-4690.284524601207,5.535263677035704
48,0.12951122817529745,16.0,10081.515946345367,-10078.617927977702,7.721338250660932
