temp,sim_burnin,sim_iterations,sim_observable,sim_variance
0.1,10000,1000000,3.498839599998823,3.489959693473118
0.1,10000,1000000,3.4971489999988448,3.4885474717958336
0.1,10000,1000000,3.4974791999989834,3.4980012455671363
0.1,10000,1000000,3.501526199998967,3.507133350711126
0.1,10000,1000000,3.495790599999081,3.488160040950908
0.1,100000,100000,3.5030140000000323,3.491604515804422
0.1,100000,100000,3.510408000000049,3.4971948735366483
0.1,100000,100000,3.5253300000000167,3.5579055911005657
0.1,100000,100000,3.485650000000062,3.430119677500585
0.1,100000,100000,3.502354000000003,3.5386976586841845
0.1,1000000,100000,3.494890000000038,3.4934914879000334
0.1,100000,1000000,3.505057399999159,3.506158022711731
0.1,100000,1000000,3.5014895999988,3.499453781092319
0.1,100000,1000000,3.4992245999990907,3.5125471587609023
0.1,100000,1000000,3.5019765999990264,3.504155853062394
0.1,100000,1000000,3.4974137999988586,3.488144159708695
0.1,100000,1000000,3.494412399998864,3.4914691501871133
0.1,100000,1000000,3.502362399998892,3.511765530842237
