temp,binning_step,variance,std,error
0.1,0,0.052141656958325955,0.22834547720138001,0.00007220918374590048
0.1,1,0.026640040201052678,0.16321776925645282,0.00007299321273798239
0.1,2,0.013754515810311585,0.11727964789472889,0.0000741741769408198
0.1,3,0.007171403397426764,0.08468413899560391,0.00007574382686162124
0.1,4,0.003727792648400866,0.06105565205941925,0.000077230031597856
0.1,5,0.0019157225721021852,0.04376896814070655,0.00007829643572851133
0.1,6,0.0009744577248764304,0.03121630543284119,0.00007897195295326698
0.1,7,0.0004892957325911833,0.02212003012184168,0.0000791395321214759
0.1,8,0.0002468707764890937,0.015712121960101178,0.0000794992740299453
0.1,9,0.0001234396854682343,0.01111034137496388,0.00007950167551079519
0.1,10,0.0000616483087790468,0.007851643699191068,0.00007945965920846039
0.1,11,0.00003112772381313401,0.005579222509735027,0.00007985815612701665
0.1,12,0.000015586435529063578,0.003947965998975115,0.00007992423545803016
0.1,13,7.869944292042787e-6,0.0028053420989324613,0.00008034964758565705
0.1,14,4.0475948644671785e-6,0.0020118635302791236,0.00008152482435423456
0.1,15,1.856376017873148e-6,0.0013624889055963531,0.00007814409804197146
0.1,16,8.670072837744838e-7,0.0009311322590129094,0.00007577446859742236
0.1,17,4.672166824703523e-7,0.0006835325028631428,0.00007892753490557881
0.1,18,2.3510189687411228e-7,0.0004848730729522029,0.00007971264216497878
0.1,19,1.2018135527130801e-7,0.0003466718264747051,0.00008171133311553002
0.1,20,7.354942145387867e-8,0.0002711999658072963,0.0000958836674399495
