temp,binning_step,variance,std,error
2.0,0,0.0120470175210402,0.10975890634039773,0.00003470881548791614
2.0,1,0.011218217523158614,0.10591608717828759,0.00004736711890500111
2.0,2,0.010033417522366302,0.10016694825323522,0.00006335115321992146
2.0,3,0.008480217522523672,0.09208809653002754,0.00008236613045034041
2.0,4,0.006269217522587024,0.07917839050263034,0.00010015370230481634
2.0,5,0.0038415175225478093,0.061979976787248064,0.00011087333046958722
2.0,6,0.0020597675225640304,0.0453846617544301,0.00011481548899441868
2.0,7,0.001113542522560685,0.033369784574682,0.00011938813481212848
2.0,8,0.0005807374434229998,0.024098494629810382,0.00012193215105823454
2.0,9,0.0002969650611369198,0.017232674230569085,0.00012331092525646176
2.0,10,0.00014805506020126595,0.012167787810496449,0.0001231396010548107
2.0,11,0.00007376869665967208,0.00858887051128797,0.00012293672837897606
2.0,12,0.0000375040684755416,0.006124056537585329,0.00012397790072035116
2.0,13,0.000018345101230152768,0.00428311816672769,0.00012267560359046988
2.0,14,8.99733410378793e-6,0.0029995556510569914,0.00012154812884313578
2.0,15,4.412271232574231e-6,0.0021005407000518296,0.0001204742715568435
2.0,16,2.1446417563097e-6,0.0014644595441014067,0.00011917602753269986
2.0,17,9.254914891604239e-7,0.0009620246821991751,0.00011108504184695157
2.0,18,4.138890395864555e-7,0.0006433420859748377,0.00010576478742517942
2.0,19,1.728848149158948e-7,0.00041579419779007835,0.00009800363227846167
2.0,20,4.423135477635596e-8,0.0002103125169274429,0.00007435670344390271
2.0,21,2.894103090511635e-8,0.00017012063632938936,0.00009821919517948338
2.0,22,1.7572347132954746e-8,0.00013256072998046875,0.00013256072998046875
2.0,23,0.0,0.0,NaN
