temp,binning_step,variance,std,error
0.1,0,49.50851239480956,7.036228563286554,0.007036232081403474
0.1,1,44.07570551468069,6.638953646071095,0.00938890767515242
0.1,2,37.457610714694546,6.120262307670689,0.012240549096464054
0.1,3,28.958979884694802,5.381354837277951,0.015220830873086335
0.1,4,19.579431559694907,4.424865145933253,0.017699602181116852
0.1,5,11.517548452195019,3.3937513833801995,0.019198264109478096
0.1,6,6.280137607195038,2.5060202727023255,0.020048803753604034
0.1,7,3.3079649117467897,1.818781161038015,0.020579135571281763
0.1,8,1.6401090839738224,1.2806674369147606,0.02049395828632663
0.1,9,0.8342300702169422,0.9133619601324232,0.0206729766168615
0.1,10,0.41965407070017746,0.6478071246136287,0.020746431777232476
0.1,11,0.2287226350721623,0.4782495531332594,0.021671555893623237
0.1,12,0.1255173544262133,0.35428428475761287,0.02272734746382909
0.1,13,0.05630067712887897,0.23727763722879358,0.02157069429352669
0.1,14,0.028492721536008094,0.16879787183494968,0.021791711549733802
0.1,15,0.007687509164421032,0.08767844184530786,0.016281477909301418
0.1,16,0.002800839289608936,0.05292295616846187,0.01414425499125992
