x,y,t,val
0,0,0,-0.69793
1,0,0,-0.82358
2,0,0,-0.85583
3,0,0,-0.83173
4,0,0,-0.69905
5,0,0,-0.19983
6,0,0,-0.06835
7,0,0,-0.04709
8,0,0,-0.06279
9,0,0,-0.21577
0,1,0,0.11572
1,1,0,0.13173
2,1,0,0.13068
3,1,0,0.1313
4,1,0,0.14102
5,1,0,-0.02064
6,1,0,-0.05626
7,1,0,-0.03911
8,1,0,-0.03294
9,1,0,-0.01642
0,2,0,0.08144
1,2,0,0.0967
2,2,0,0.1045
3,2,0,0.09718
4,2,0,0.06377
5,2,0,0.01053
6,2,0,0.01762
7,2,0,0.00229
8,2,0,0.00348
9,2,0,0.01069
0,3,0,0.06454
1,3,0,0.08724
2,3,0,0.08556
3,3,0,0.06739
4,3,0,0.07217
5,3,0,0.04518
6,3,0,0.02548
7,3,0,0.01568
8,3,0,0.0176
9,3,0,0.04732
0,4,0,0.04459
1,4,0,0.06324
2,4,0,0.06217
3,4,0,0.08495
4,4,0,0.06641
5,4,0,0.04965
6,4,0,0.02759
7,4,0,0.02216
8,4,0,0.0234
9,4,0,0.04089
0,5,0,0.07664
1,5,0,0.07043
2,5,0,0.06553
3,5,0,0.03814
4,5,0,0.04274
5,5,0,0.03848
6,5,0,0.02635
7,5,0,0.03107
8,5,0,0.04078
9,5,0,0.04867
0,6,0,0.04626
1,6,0,0.07745
2,6,0,0.07958
3,6,0,0.06996
4,6,0,0.05045
5,6,0,0.03251
6,6,0,0.03466
7,6,0,0.02599
8,6,0,0.02742
9,6,0,0.04514
0,7,0,0.05432
1,7,0,0.06242
2,7,0,0.07892
3,7,0,0.07748
4,7,0,0.07066
5,7,0,0.04816
6,7,0,0.03109
7,7,0,0.02132
8,7,0,0.02463
9,7,0,0.03497
0,8,0,0.07867
1,8,0,0.08971
2,8,0,0.1089
3,8,0,0.11105
4,8,0,0.06898
5,8,0,0.02156
6,8,0,0.01185
7,8,0,0.00106
8,8,0,0.00658
