x,y,t,val
0,0,0,0.00808
1,0,0,-0.00228
2,0,0,0.02306
3,0,0,0.01413
4,0,0,-0.00105
5,0,0,-0.01561
6,0,0,-0.0178
7,0,0,-0.0117
8,0,0,0.00987
9,0,0,0.01847
10,0,0,-0.00721
11,0,0,0.00093
12,0,0,-0.01458
13,0,0,-0.00988
14,0,0,-0.00181
15,0,0,0.00314
16,0,0,0.00057
17,0,0,0.01059
18,0,0,0.01337
19,0,0,0.01408
20,0,0,-0.00742
21,0,0,-0.02158
22,0,0,-0.00604
23,0,0,0.02352
24,0,0,0.02157
25,0,0,0.02272
26,0,0,0.02098
27,0,0,0.01741
28,0,0,0.0122
29,0,0,0.00015
30,0,0,0.01605
31,0,0,-0.00474
32,0,0,0.00159
33,0,0,0.00514
34,0,0,0.00513
35,0,0,0.01203
36,0,0,0.0105
37,0,0,-0.00064
38,0,0,-0.01035
39,0,0,-0.01268
40,0,0,-0.01407
41,0,0,-0.01206
42,0,0,0.00658
43,0,0,-0.00036
44,0,0,-0.01066
45,0,0,-0.00644
46,0,0,-0.00811
47,0,0,-0.00374
48,0,0,0.00007
49,0,0,0.00721
0,1,0,-0.00067
1,1,0,0.00138
2,1,0,-0.00548
3,1,0,-0.00045
4,1,0,0.00238
5,1,0,-0.01164
6,1,0,-0.02159
7,1,0,-0.01177
8,1,0,0.00296
9,1,0,0.00718
10,1,0,-0.00244
11,1,0,0.00258
12,1,0,-0.01285
13,1,0,0.00107
14,1,0,0.00331
15,1,0,0.00123
16,1,0,0.00672
17,1,0,0.00144
18,1,0,-0.00434
19,1,0,0.00479
20,1,0,-0.00475
21,1,0,0.01287
22,1,0,0.01022
23,1,0,0.01836
24,1,0,0.00731
25,1,0,-0.00457
26,1,0,0.0045
27,1,0,0.01073
28,1,0,0.02082
29,1,0,0.01684
30,1,0,0.02135
31,1,0,0.00377
32,1,0,0.00652
33,1,0,0.008
34,1,0,-0.00783
35,1,0,0.00741
36,1,0,0.01972
37,1,0,-0.00177
38,1,0,0.00104
39,1,0,-0.00344
40,1,0,0.00244
41,1,0,-0.00149
42,1,0,-0.00011
43,1,0,0.00086
44,1,0,0.00373
45,1,0,-0.005
46,1,0,-0.02153
47,1,0,0.00083
48,1,0,0.013
49,1,0,0.01481
0,2,0,-0.00413
1,2,0,-0.00406
2,2,0,0.00397
3,2,0,-0.00969
4,2,0,-0.00802
5,2,0,-0.01135
6,2,0,-0.00413
7,2,0,0.00094
8,2,0,0.00754
9,2,0,-0.00908
10,2,0,0.00163
11,2,0,0.0024
12,2,0,-0.00321
13,2,0,0.00682
14,2,0,0.01052
15,2,0,0.0101
16,2,0,-0.00815
17,2,0,-0.014
18,2,0,-0.01452
19,2,0,0.01587
20,2,0,-0.00016
21,2,0,-0.00978
22,2,0,-0.01303
23,2,0,0.00175
24,2,0,0.00462
25,2,0,-0.00445
26,2,0,-0.00076
27,2,0,0.00163
28,2,0,0.00955
29,2,0,-0.00397
30,2,0,-0.00845
31,2,0,-0.00788
32,2,0,-0.01044
33,2,0,0.01165
34,2,0,0.00328
35,2,0,0.02009
36,2,0,0.01694
37,2,0,0.01813
38,2,0,0.02152
39,2,0,0.00336
40,2,0,0.01142
41,2,0,0.01632
42,2,0,0.00879
43,2,0,0.01426
44,2,0,0.01163
45,2,0,0.0091
46,2,0,-0.01049
47,2,0,-0.00987
48,2,0,-0.00371
49,2,0,0.00482
0,3,0,-0.00125
1,3,0,0.00415
2,3,0,-0.00727
3,3,0,-0.01946
4,3,0,-0.0088
5,3,0,0.00894
6,3,0,0.01328
7,3,0,-0.00206
8,3,0,0.00078
9,3,0,0.00111
10,3,0,0.0082
11,3,0,0.00537
12,3,0,0.00579
13,3,0,0.00736
14,3,0,0.01904
15,3,0,0.01017
16,3,0,-0.01232
17,3,0,-0.00402
18,3,0,-0.00101
19,3,0,0.02958
20,3,0,0.01346
21,3,0,0.00396
22,3,0,-0.01066
23,3,0,-0.00832
24,3,0,0.00255
25,3,0,-0.00781
26,3,0,0.00501
27,3,0,0.00305
28,3,0,-0.00361
29,3,0,0.0044
30,3,0,0.00603
31,3,0,0.00922
32,3,0,-0.00513
33,3,0,0.00043
34,3,0,0.00481
35,3,0,0.02186
36,3,0,-0.00849
37,3,0,0.02492
38,3,0,0.01152
39,3,0,-0.00619
40,3,0,0.00343
41,3,0,-0.00977
42,3,0,0.00014
43,3,0,0.01667
44,3,0,0.00663
45,3,0,0.00309
46,3,0,-0.00137
47,3,0,0.00486
48,3,0,0.01629
49,3,0,0.00674
0,4,0,0.00191
1,4,0,0.00146
2,4,0,0.00381
3,4,0,-0.01921
4,4,0,-0.00088
5,4,0,-0.0047
6,4,0,0.00048
7,4,0,-0.0124
8,4,0,-0.00616
9,4,0,0.00831
10,4,0,-0.01264
11,4,0,-0.01843
